group_id,group_type,phash_hamming_threshold,sha256_or_min_pair_hamming,filename
exact-0001,exact,,afca2b9f347607856da567d51643ff5330f22fabc6ceba501f4c0f0f8587efb2,data/DFU/Original Images/40122541_323962865037457_6905035766640934912_n.jpg
exact-0001,exact,,afca2b9f347607856da567d51643ff5330f22fabc6ceba501f4c0f0f8587efb2,data/DFU/Original Images/40684551_286268405533991_382919273858727936_n.jpg
exact-0002,exact,,305fdc91c7822908546485df322ac8068f6c959c99339455c2416074ca564f39,data/DFU/Original Images/40160148_1009679235868898_597659929192431616_n.jpg
exact-0002,exact,,305fdc91c7822908546485df322ac8068f6c959c99339455c2416074ca564f39,data/DFU/Original Images/40912870_252777755375304_1806555513480019968_n.jpg
exact-0003,exact,,d70c944428f353e574adcd1b7ffc7856cedafa5024d5a47bdcd9e45333a1b0ad,data/DFU/Original Images/40202761_2200092363606091_776051438781464576_n (1).jpg
exact-0003,exact,,d70c944428f353e574adcd1b7ffc7856cedafa5024d5a47bdcd9e45333a1b0ad,data/DFU/Original Images/40202761_2200092363606091_776051438781464576_n.jpg
exact-0004,exact,,cbf997fc606d0f0950c173327edddb57d36496a4c827d869757dbb20118308ba,data/DFU/Original Images/51603050_631379107291077_7939632421186568192_n (1).jpg
exact-0004,exact,,cbf997fc606d0f0950c173327edddb57d36496a4c827d869757dbb20118308ba,data/DFU/Original Images/51603050_631379107291077_7939632421186568192_n.jpg
exact-0005,exact,,46f3e9603b5ee28f5bd3bb1a466528afda723b89d54c5fcd47355c49b5d8f7ae,data/DFU/Original Images/51807866_518159225254663_1461266681484541952_n (1).jpg
exact-0005,exact,,46f3e9603b5ee28f5bd3bb1a466528afda723b89d54c5fcd47355c49b5d8f7ae,data/DFU/Original Images/51807866_518159225254663_1461266681484541952_n.jpg
exact-0006,exact,,8f355f66b30b38c5d91ebe4b395888c4dc1eb494803d32ca5cdbde828212bc4a,data/DFU/Original Images/51820014_412392489525783_8714311587852189696_n (1).jpg
exact-0006,exact,,8f355f66b30b38c5d91ebe4b395888c4dc1eb494803d32ca5cdbde828212bc4a,data/DFU/Original Images/51820014_412392489525783_8714311587852189696_n.jpg
exact-0007,exact,,0765eebb37a3f7e0a6178298d1f7134e93352d59a678d4d2d6e1aa903a420ef3,data/DFU/Original Images/51828322_1996656233961387_5287593504359317504_n (1).jpg
exact-0007,exact,,0765eebb37a3f7e0a6178298d1f7134e93352d59a678d4d2d6e1aa903a420ef3,data/DFU/Original Images/51828322_1996656233961387_5287593504359317504_n.jpg
exact-0008,exact,,7222bdd78936296215cd1b822aa38336c94cc5519ac531b0b9d52b6a4befff22,data/DFU/Original Images/52105034_238230050394719_8462553318063865856_n (1).jpg
exact-0008,exact,,7222bdd78936296215cd1b822aa38336c94cc5519ac531b0b9d52b6a4befff22,data/DFU/Original Images/52105034_238230050394719_8462553318063865856_n.jpg
exact-0009,exact,,fe0df2b006cf28707fd82e025dd511b9d3085b56737ec02085e54c27b793b35b,data/DFU/Original Images/52696033_298924264128196_4032774948626890752_n (1).jpg
exact-0009,exact,,fe0df2b006cf28707fd82e025dd511b9d3085b56737ec02085e54c27b793b35b,data/DFU/Original Images/52696033_298924264128196_4032774948626890752_n.jpg
exact-0010,exact,,d38dd99cf423b7c4cdda0ce2a3658cbc7ef83e1389e85e98f6facca946d7e562,data/DFU/Original Images/52926505_673999489716443_8799253933454262272_n (1).jpg
exact-0010,exact,,d38dd99cf423b7c4cdda0ce2a3658cbc7ef83e1389e85e98f6facca946d7e562,data/DFU/Original Images/52926505_673999489716443_8799253933454262272_n.jpg
exact-0011,exact,,be993fd0e32ef59e316f27ea30d7890eea3a44424444ae6b54ca78a93825311c,data/DFU/Original Images/52953564_1224061387745809_986999367409860608_n (1).jpg
exact-0011,exact,,be993fd0e32ef59e316f27ea30d7890eea3a44424444ae6b54ca78a93825311c,data/DFU/Original Images/52953564_1224061387745809_986999367409860608_n.jpg
exact-0012,exact,,c95950c39511fd23e6ef48c04fa369a2c3cadaf65cd37d4ee18130a59eab5d39,data/DFU/Original Images/53306460_351795955419517_1052700465684283392_n (1).jpg
exact-0012,exact,,c95950c39511fd23e6ef48c04fa369a2c3cadaf65cd37d4ee18130a59eab5d39,data/DFU/Original Images/53306460_351795955419517_1052700465684283392_n.jpg
